,amount,changeRatio,close,code,high,low,open,time,turnoverRatio,volume
0,1653806750,1.90555095277548,12.3,000001.SZ,12.33,12.06,12.06,2025-07-01,0.6979135118865358,135434108
1,1481842212,0.1626016260162567,12.32,000001.SZ,12.41,12.23,12.31,2025-07-02,0.6185913248415815,120041184
2,980546007,0.2435064935064883,12.35,000001.SZ,12.42,12.28,12.33,2025-07-03,0.40920513764710315,79408597
3,2224874055,2.0242914979757085,12.6,000001.SZ,12.72,12.3,12.35,2025-07-04,0.9148571779913819,177533267
4,1901755851,1.4285714285714262,12.78,000001.SZ,12.82,12.6,12.6,2025-07-07,0.7706067832265402,149540653
5,1387093602,-0.7042253521126749,12.69,000001.SZ,12.84,12.65,12.75,2025-07-08,0.5622024325966977,109098597
6,1542699034,1.1820330969267168,12.84,000001.SZ,12.9,12.66,12.66,2025-07-09,0.6214520805270678,120596330
7,3249454028,2.6479750778816187,13.18,000001.SZ,13.33,12.79,12.82,2025-07-10,1.2787129125493923,248141553
8,3200219566,-2.0485584218512867,12.91,000001.SZ,13.3,12.89,13.19,2025-07-11,1.2592999159671763,244374350
9,2440924105,0.5422153369481044,12.98,000001.SZ,13.17,12.86,12.87,2025-07-14,0.9651330372931011,187289585
10,2322277284,-1.9260400616332818,12.73,000001.SZ,13.04,12.71,12.99,2025-07-15,0.9329955973443781,181053131
11,2424983973,-0.7069913589945,12.64,000001.SZ,12.76,12.5,12.73,2025-07-16,0.9934588915502637,192786379
12,1189666226,-0.3955696202531701,12.59,000001.SZ,12.7,12.54,12.61,2025-07-17,0.48678874670730204,94464140
13,1574176824,0.8737092930897493,12.7,000001.SZ,12.75,12.6,12.62,2025-07-18,0.6396132613839979,124120611
14,1360155718,-0.7086614173228336,12.61,000001.SZ,12.71,12.55,12.64,2025-07-21,0.5560395892172587,107902662
15,2408337285,-0.951625693893729,12.49,000001.SZ,12.6,12.32,12.6,2025-07-22,0.9972543839258209,193522916
16,1719158802,0.32025620496396434,12.53,000001.SZ,12.63,12.45,12.46,2025-07-23,0.7062507668383913,137052000
17,2426175235,-1.4365522745410992,12.35,000001.SZ,12.53,12.33,12.53,2025-07-24,1.0096845303736823,195935057
18,1372103731,0,12.35,000001.SZ,12.46,12.32,12.33,2025-07-25,0.571107447163429,110826666
19,1541317046,0.8906882591093216,12.46,000001.SZ,12.53,12.32,12.35,2025-07-28,0.6380862102757359,123824278
20,1255113972,-0.9630818619582744,12.34,000001.SZ,12.51,12.34,12.46,2025-07-29,0.5219212388219314,101281801
21,2149934404,1.2155591572123206,12.49,000001.SZ,12.64,12.34,12.35,2025-07-30,0.8838510986729824,171516360
22,2079630602,-2.081665332265811,12.23,000001.SZ,12.55,12.22,12.51,2025-07-31,0.8709257645504531,169008125
