,总金额,涨跌,收盘,代码,最高,最低,开盘,日期,换手率,总股数
0,56357686,0.3134796238244447,19.2,603310.SH,19.45,18.93,19.14,2025-07-01,4.2615604007412555,2943545
1,34477195,-1.041666666666663,19,603310.SH,19.18,18.94,19.15,2025-07-02,2.6221768589298122,1811190
2,52663390,0.4210526315789384,19.08,603310.SH,19.15,18.72,18.95,2025-07-03,4.03158588139912,2784697
3,41271247,-1.8867924528301858,18.72,603310.SH,19.09,18.71,19.08,2025-07-04,3.173849027102154,2192241
4,16733837,0.10683760683760457,18.74,603310.SH,18.78,18.62,18.72,2025-07-07,1.2947938383136437,894340
5,29518442,0.693703308431177,18.87,603310.SH,18.92,18.73,18.74,2025-07-08,2.2674571461663193,1566178
6,36355357,-1.0598834128245855,18.67,603310.SH,18.94,18.65,18.88,2025-07-09,2.803429754459115,1936385
7,48462492,-1.0176754151044525,18.48,603310.SH,18.8,18.4,18.68,2025-07-10,3.7888623465369466,2617043
8,35112768,-0.1082251082251059,18.46,603310.SH,18.6,18.37,18.47,2025-07-11,2.755838834839009,1903513
9,35546020,1.1375947995666351,18.67,603310.SH,18.78,18.44,18.47,2025-07-14,2.7639535557099837,1909118
10,37507539,-1.6604177825388442,18.36,603310.SH,18.62,18.12,18.6,2025-07-15,2.9625101343525597,2046265
11,20089808,-0.21786492374727207,18.32,603310.SH,18.43,18.27,18.4,2025-07-16,1.583799513551077,1093962
12,32419717,-0.7641921397379944,18.18,603310.SH,18.37,18.13,18.25,2025-07-17,2.5767315265230484,1779800
13,40197280,-0.33003300330032304,18.12,603310.SH,18.28,18.05,18.2,2025-07-18,3.2093916492934906,2216791
14,74974817,2.7041942604856426,18.61,603310.SH,18.75,18.08,18.08,2025-07-21,5.864729557563122,4050886
15,55353672,-0.6985491671144493,18.48,603310.SH,18.73,18.25,18.62,2025-07-22,4.3499942089413945,3004628
16,44567616,-0.9199134199134292,18.31,603310.SH,18.47,18.18,18.47,2025-07-23,3.5260235696085247,2435495
17,51981150,-0.4369197160021753,18.23,603310.SH,18.34,18.22,18.27,2025-07-24,4.120045749362983,2845798
18,45017376,-0.3291278113000478,18.17,603310.SH,18.35,18.07,18.23,2025-07-25,3.5801757586286773,2472899
19,39946860,0.05503577325260325,18.18,603310.SH,18.24,18.1,18.18,2025-07-28,3.1836503937919853,2199011
20,38360456,-0.8250825082508172,18.03,603310.SH,18.2,17.96,18.2,2025-07-29,3.081855165624276,2128699
21,40001006,-0.610094287298943,17.92,603310.SH,18.1,17.88,18.07,2025-07-30,3.22150220060227,2225156
22,37583468,-1.283482142857145,17.69,603310.SH,17.93,17.65,17.93,2025-07-31,3.060839413944869,2114183
