ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600996.SH,20240611,8.71,8.97,8.51,8.6,9.01,-0.41,-4.5505,456909.92,395940.016
600371.SH,20240611,7.36,7.36,7.2,7.3,7.36,-0.06,-0.8152,24556.1,17861.494
601100.SH,20240611,51.47,51.5,50.65,51.03,51.53,-0.5,-0.9703,42960.97,219558.44
688356.SH,20240611,63.0,65.21,61.91,65.18,63.5,1.68,2.6457,3729.78,23743.498
600579.SH,20240611,5.46,5.46,5.3,5.39,5.48,-0.09,-1.6423,49222.0,26432.955
688188.SH,20240611,195.79,195.88,190.0,193.53,196.12,-2.59,-1.3206,8586.79,164732.07
603168.SH,20240611,7.91,7.95,7.55,7.8,7.99,-0.19,-2.378,55258.42,42676.932
688038.SH,20240611,8.28,8.52,8.03,8.46,8.29,0.17,2.0507,18905.87,15720.967
605298.SH,20240611,11.1,11.3,10.71,11.25,11.08,0.17,1.5343,12294.64,13648.875
600480.SH,20240611,10.5,10.54,10.35,10.5,10.61,-0.11,-1.0368,129542.17,135310.16
601857.SH,20240611,10.08,10.11,9.78,9.82,9.99,-0.17,-1.7017,1973929.85,1953839.971
601890.SH,20240611,7.59,7.66,7.49,7.6,7.66,-0.06,-0.7833,118169.53,89367.849
600650.SH,20240611,7.51,7.56,7.29,7.38,7.57,-0.19,-2.5099,24070.46,17763.774
601696.SH,20240611,9.38,9.55,9.36,9.44,9.44,0.0,0.0,109595.49,103706.584
600795.SH,20240611,5.99,6.02,5.77,5.85,5.96,-0.11,-1.8456,1696158.98,996537.849
600081.SH,20240611,8.94,8.94,8.74,8.9,8.94,-0.04,-0.4474,20241.5,17889.907
603365.SH,20240611,18.19,18.29,17.91,18.2,18.18,0.02,0.11,19152.0,34736.434
688396.SH,20240611,36.8,38.62,36.79,38.56,37.01,1.55,4.1881,64592.19,245149.962
601900.SH,20240611,12.56,12.77,12.35,12.72,12.59,0.13,1.0326,81926.02,103241.575
600219.SH,20240611,3.76,3.8,3.7,3.76,3.82,-0.06,-1.5707,1066457.59,400337.286
600933.SH,20240611,16.9,16.9,16.55,16.71,16.93,-0.22,-1.2995,51551.58,86335.638
600079.SH,20240611,18.99,19.24,18.76,18.97,19.0,-0.03,-0.1579,73331.03,139501.801
603117.SH,20240611,3.0,3.04,3.0,3.04,3.01,0.03,0.9967,5416.8,1634.885
600573.SH,20240611,9.49,9.61,9.37,9.61,9.54,0.07,0.7338,37908.0,35963.868
