ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301498.SZ,20260119,68.94,72.55,68.66,71.76,68.94,2.82,4.0905,81453.28,581996.533
301498.SZ,20260116,68.19,69.19,67.7,68.94,68.04,0.9,1.3228,37269.06,255572.021
301498.SZ,20260115,68.02,68.75,67.33,68.04,68.5,-0.46,-0.6715,31284.0,212121.46
301498.SZ,20260114,67.72,70.24,67.33,68.5,67.51,0.99,1.4664,56609.42,389565.033
301498.SZ,20260113,69.0,69.37,67.22,67.51,69.14,-1.63,-2.3575,35550.95,242332.5
301498.SZ,20260112,67.18,69.5,66.61,69.14,67.29,1.85,2.7493,54636.23,372609.207
301498.SZ,20260109,66.98,67.48,66.2,67.29,67.0,0.29,0.4328,30970.34,207178.567
301498.SZ,20260108,67.0,67.99,66.68,67.0,67.25,-0.25,-0.3717,19619.0,132025.527
301498.SZ,20260107,67.0,67.58,66.6,67.25,67.09,0.16,0.2385,24937.0,167505.546
301498.SZ,20260106,66.15,67.19,65.7,67.09,66.0,1.09,1.6515,33975.16,226134.769
301498.SZ,20260105,65.16,66.28,64.71,66.0,65.15,0.85,1.3047,26217.46,172457.975
