,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,301667.SZ,20260123,83.23,83.8,80.11,81.2,83.44,-2.24,-2.6846,63633.02,516161.638
1,301667.SZ,20260122,85.64,88.27,82.75,83.44,86.26,-2.82,-3.2692,67645.9,568074.282
2,301667.SZ,20260121,77.72,90.9,77.31,86.26,78.51,7.75,9.8714,100173.52,849974.71
3,301667.SZ,20260120,82.83,83.52,77.44,78.51,80.88,-2.37,-2.9303,63899.98,507966.831
4,301667.SZ,20260119,74.0,81.8,73.44,80.88,74.32,6.56,8.8267,99627.03,785892.587
5,301667.SZ,20260116,74.1,76.2,74.0,74.32,75.77,-1.45,-1.9137,41018.84,305880.568
6,301667.SZ,20260115,74.94,77.5,73.38,75.77,74.77,1.0,1.3374,52398.71,398381.039
7,301667.SZ,20260114,74.0,76.99,73.0,74.77,74.0,0.77,1.0405,49587.74,369408.785
8,301667.SZ,20260113,78.22,78.22,73.93,74.0,78.13,-4.13,-5.2861,64733.86,485768.763
9,301667.SZ,20260112,79.0,79.98,77.0,78.13,81.39,-3.26,-4.0054,82793.94,649080.216
10,301667.SZ,20260109,80.04,84.99,78.09,81.39,78.16,3.23,4.1325,102197.82,830397.09
11,301667.SZ,20260108,74.0,81.13,73.19,78.16,74.38,3.78,5.082,92944.72,728315.293
12,301667.SZ,20260107,73.05,74.88,72.55,74.38,74.36,0.02,0.0269,57163.27,420419.108
13,301667.SZ,20260106,73.01,74.38,71.82,74.36,73.58,0.78,1.0601,79334.6,578432.472
14,301667.SZ,20260105,76.02,76.99,73.0,73.58,80.25,-6.67,-8.3115,100795.25,749720.923
