ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601311.SH,20260120,9.66,9.76,9.54,9.74,9.66,0.08,0.8282,298908.03,288551.733
601311.SH,20260119,9.48,9.69,9.45,9.66,9.48,0.18,1.8987,296624.91,285003.596
601311.SH,20260116,9.61,9.7,9.47,9.48,9.59,-0.11,-1.147,291852.61,278060.547
601311.SH,20260115,9.37,9.6,9.33,9.59,9.37,0.22,2.3479,438731.27,418218.248
601311.SH,20260114,9.33,9.57,9.28,9.37,9.33,0.04,0.4287,409507.51,385686.449
601311.SH,20260113,9.43,9.46,9.3,9.33,9.44,-0.11,-1.1653,291096.8,272740.188
601311.SH,20260112,9.39,9.45,9.28,9.44,9.39,0.05,0.5325,314690.36,294939.902
601311.SH,20260109,9.35,9.43,9.32,9.39,9.35,0.04,0.4278,214749.46,201337.454
601311.SH,20260108,9.35,9.41,9.3,9.35,9.37,-0.02,-0.2134,170254.7,159310.738
601311.SH,20260107,9.38,9.49,9.35,9.37,9.4,-0.03,-0.3191,225013.2,211811.198
601311.SH,20260106,9.32,9.4,9.32,9.4,9.29,0.11,1.1841,211427.8,198042.337
601311.SH,20260105,9.21,9.29,9.16,9.29,9.17,0.12,1.3086,171944.3,158612.063
