ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920790.BJ,20260120,38.41,38.87,37.06,37.11,37.61,-0.5,-1.3294,22234.03,84208.266
920790.BJ,20260119,38.69,38.69,37.6,37.61,38.7,-1.09,-2.8165,16700.77,63333.65
920790.BJ,20260116,40.56,41.33,38.22,38.7,41.55,-2.85,-6.8592,39797.08,156456.614
920790.BJ,20260115,43.0,45.0,41.05,41.55,45.12,-3.57,-7.9122,49206.44,207894.244
920790.BJ,20260114,38.41,49.96,38.41,45.12,39.76,5.36,13.4809,94957.11,424634.748
920790.BJ,20260113,40.36,44.1,39.0,39.76,41.0,-1.24,-3.0244,60097.99,248308.693
920790.BJ,20260112,35.8,41.0,35.78,41.0,35.41,5.59,15.7865,57412.45,222625.36
920790.BJ,20260109,34.47,35.44,34.31,35.41,34.46,0.95,2.7568,18565.51,65105.401
920790.BJ,20260108,34.37,34.65,33.88,34.46,34.27,0.19,0.5544,11784.57,40437.849
920790.BJ,20260107,35.0,35.08,34.06,34.27,35.21,-0.94,-2.6697,16579.51,57258.276
920790.BJ,20260106,33.05,35.35,33.01,35.21,33.13,2.08,6.2783,26749.21,92738.246
920790.BJ,20260105,33.1,33.47,32.77,33.13,33.0,0.13,0.3939,9270.92,30723.523
