,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
0,001227.SZ,20231124,2.8,0.8428,0.8438,0.93,9.1984,8.537,0.5772,2.1406,1.9919,3.5714,4.2857,569569.7168,276811.4973,276497.4773,1594795.207,775072.1924,0
1,000750.SZ,20231124,3.72,0.5626,0.9046,0.71,95.3138,69.8371,1.0805,6.5686,6.1834,0.8021,0.8021,638617.4477,544452.5514,338597.1056,2375656.9054,2025363.4912,0
2,300190.SZ,20231124,4.35,0.4596,0.702,0.84,,,0.897,1.6307,1.5313,2.2988,1.1326,78158.8783,77616.468,50809.2424,339991.1206,337631.6358,0
3,600678.SH,20231124,5.69,0.9404,1.183,0.78,153.1373,11072.1104,7.6922,5.5491,5.8932,0.0,,34899.0,34899.0,27743.6516,198575.31,198575.31,0
4,300973.SZ,20231124,54.24,0.82,0.8702,0.57,63.8864,45.536,4.083,3.1557,2.6686,0.9218,0.9218,16934.0106,7104.5331,6694.2581,918500.7349,385349.8753,0
5,603908.SH,20231124,39.83,0.818,2.0676,0.86,18.8893,22.0684,4.7069,1.85,1.8534,2.2596,3.0018,6669.0,6669.0,2638.3347,265626.27,265626.27,0
6,300287.SZ,20231124,4.42,5.084,5.1677,1.0,,,4.1752,5.5504,7.2597,0.0,,143527.3808,129522.8026,127426.488,634391.0231,572490.7875,0
7,603169.SH,20231124,6.09,0.789,1.6468,0.56,45.2178,47.3631,2.4271,1.5973,1.5833,0.0,,130629.1798,130629.1798,62585.2094,795531.705,795531.705,0
8,920523.BJ,20231124,12.68,7.0591,8.0219,1.98,22.3871,23.1277,2.2748,3.5312,3.0372,,,7792.413,4509.9341,3968.6035,98807.7968,57185.9644,0
9,002199.SZ,20231124,8.72,1.4379,2.5242,0.8,,,6.5793,11.7396,12.3597,0.0,,24344.2363,24344.2363,13867.6514,212281.7405,212281.7405,0
10,002758.SZ,20231124,11.16,2.4839,3.236,1.47,9.5627,13.272,1.3301,0.1395,0.1451,2.586,2.6882,52251.5799,23717.6649,18205.1649,583127.6317,264689.1403,0
11,688307.SH,20231124,34.0,15.068,15.068,0.89,72.7713,100.7032,3.6799,7.4058,8.1802,,,8800.0,1906.6621,1906.6621,299200.0,64826.5114,0
12,688553.SH,20231124,15.29,0.5469,0.7055,0.82,26.0124,63.1469,1.7466,4.3374,6.9473,,,42360.0,29113.5369,22568.8373,647684.4,445145.9792,0
13,300109.SZ,20231124,19.73,1.5031,1.6216,0.78,21.8378,15.1965,1.8397,4.2841,4.0647,2.6378,2.5445,32260.1837,28515.1984,26430.6791,636493.4244,562604.8644,0
14,000070.SZ,20231124,9.3,4.3477,6.9866,0.66,630.8549,,3.8623,1.9976,1.7733,0.0,,90034.476,88857.8626,55295.3633,837320.6268,826378.1222,0
15,300566.SZ,20231124,17.47,2.056,2.4658,0.55,81.1348,41.3698,2.68,2.3253,2.1999,0.5688,0.2844,26374.155,22819.8783,19027.4107,460756.4879,398663.2739,0
16,600227.SH,20231124,2.87,0.6855,0.8302,1.2,,,1.9075,1.9303,2.1514,0.0,,169313.4201,127817.9547,105540.0845,485929.5157,366837.53,0
17,688177.SH,20231124,40.1,0.5053,2.4139,1.04,,,13.5534,36.4831,31.0717,,,41408.0,41408.0,8667.818,1660460.8,1660460.8,0
18,601186.SH,20231124,7.77,0.298,0.7526,0.86,3.9604,3.8629,0.4312,0.0962,0.0955,3.166,3.6036,1357954.15,1150324.55,455525.891,10551303.7455,8938021.7535,0
19,600506.SH,20231124,14.89,33.639,44.1942,0.93,,,6.7755,1.422,1.3308,0.0,,19201.8934,14770.6873,11242.8858,285916.1927,219935.5339,0
20,600892.SH,20231124,5.75,2.1304,3.619,0.79,130.4256,227.452,17.075,15.4565,15.1479,0.0,,55946.4188,55931.9536,32925.55,321691.9081,321608.7332,0
21,002290.SZ,20231124,11.73,0.5357,1.1932,0.99,44.1418,36.2154,4.1703,1.3643,1.3116,0.0,,24811.233,24766.233,11118.6247,291035.7631,290507.9131,0
22,600787.SH,20231124,5.17,0.3495,0.9684,0.95,17.603,21.72,0.8556,0.1468,0.1651,3.1278,1.9408,218072.8668,217007.9582,78308.5087,1127436.7214,1121931.1439,0
23,600985.SH,20231124,15.3,0.705,2.0537,1.47,5.4154,5.5412,1.0419,0.5497,0.5642,4.5752,6.8627,248103.847,248103.847,85168.3175,3795988.8591,3795988.8591,0
24,002581.SZ,20231124,16.63,1.2834,1.5732,1.43,,,4.5475,30.7253,26.1287,0.0,,65973.5586,40079.1161,32696.8361,1097140.2795,666515.7007,0
25,002803.SZ,20231124,23.21,4.5478,5.2389,1.0,48.5709,29.2029,3.8497,1.6623,1.4028,0.0,1.9606,38500.9288,28449.4863,24696.0278,893606.5574,660312.577,0
26,603077.SH,20231124,2.37,0.4723,0.7033,1.15,5.4981,14.9677,1.0582,1.6052,2.3307,0.6253,1.8759,883125.0228,883125.0228,593047.9879,2093006.304,2093006.304,0
27,000919.SZ,20231124,8.72,2.4018,4.3904,0.98,42.335,40.5393,1.4658,1.6687,1.6378,1.1451,1.1468,51113.6,50326.3097,27531.9258,445710.592,438845.4206,0
28,603629.SH,20231124,31.28,4.7733,9.3539,0.52,120.9127,184.4461,4.9105,3.935,3.6391,0.2822,0.548,25480.0,25480.0,13002.402,797014.4,797014.4,0
29,300581.SZ,20231124,10.62,2.5414,5.6489,1.33,163.7423,,5.8724,25.0648,27.3999,0.0,,55010.9546,55010.9546,24749.2606,584216.3379,584216.3379,0
30,603733.SH,20231124,18.1,0.2956,1.3377,0.75,17.9901,24.3325,1.8891,1.6513,1.5138,1.9337,1.7127,70597.5551,70597.5551,15597.4951,1277815.7473,1277815.7473,0
31,688660.SH,20231124,5.08,0.7241,0.7427,1.04,,,1.045,0.5609,0.5996,,,133333.34,53333.34,52000.0006,677333.3672,270933.3672,0
32,920021.BJ,20231124,5.08,29.7692,37.1647,1.51,74.7656,506.9881,2.5144,1.9531,2.1935,,,30899.9983,23089.7965,18495.0983,156971.9914,117296.1662,0
33,300616.SZ,20231124,18.67,1.252,1.6352,0.79,79.7926,46.1213,1.0389,0.6951,0.7291,0.8034,0.8034,19786.708,12931.7342,9901.5013,369417.8384,241435.4775,0
34,300561.SZ,20231124,12.38,2.6947,3.7045,0.94,545.4018,,6.3237,25.8245,27.3123,0.525,0.3069,32810.7975,19551.32,14221.5106,406197.6731,242045.3416,0
35,688119.SH,20231124,5.12,0.7496,1.1955,0.94,24.7687,44.9331,1.8702,2.1432,2.2945,,,112500.0,56250.0,35270.9786,576000.0,288000.0,0
36,301505.SZ,20231124,40.8,11.0288,11.0288,0.66,45.153,45.7605,3.7831,8.8791,9.0502,,0.9804,8800.0,1971.5591,1971.5591,359040.0,80439.6113,0
37,301323.SZ,20231124,38.93,3.8291,3.8291,0.95,31.9473,31.0125,2.0803,5.7138,5.647,,,10492.289,2338.5245,2338.5245,408464.8108,91038.7588,0
38,600502.SH,20231124,4.74,0.8451,1.2453,0.82,5.8959,5.3728,0.8624,0.1016,0.0945,5.2885,5.2743,171653.3938,171653.3938,116489.5154,813637.0866,813637.0866,0
39,601010.SH,20231124,2.58,0.7649,1.3281,0.8,,27.6312,1.0773,1.9927,2.1716,4.9333,,184800.0,184800.0,106427.5433,476784.0,476784.0,0
40,301126.SZ,20231124,14.27,6.8646,7.1213,2.97,57.6457,133.5689,1.6925,0.8951,0.7695,0.2383,0.2032,20650.57,10881.9214,10489.7125,294683.6339,155285.0184,0
41,688581.SH,20231124,114.96,2.1816,2.1816,0.56,45.8958,34.8107,3.12,17.9268,14.6493,,,5787.0971,1377.0478,1377.0478,665284.6826,158305.4151,0
42,688019.SH,20231124,171.51,0.8928,1.2922,0.87,56.3686,41.4121,8.3927,15.7799,14.385,,,9907.0448,9907.0448,6844.6651,1699157.2536,1699157.2536,0
43,300125.SZ,20231124,14.06,1.5373,1.9768,1.52,,145.8041,5.3765,2.3551,2.8824,0.0,,26759.9995,26289.9158,20444.5898,376245.593,369636.2161,0
44,002524.SZ,20231124,7.04,0.9015,1.2089,1.08,,,12.8576,4.7515,3.5679,0.0,,51796.7074,50806.0799,37889.2091,364648.8201,357674.8025,0
45,603099.SH,20231124,15.6,4.6936,11.5747,0.94,,34.7185,3.9376,21.3715,7.8299,0.0,,26667.0,26667.0,10813.694,416005.2,416005.2,0
46,600333.SH,20231124,5.4,1.6052,3.8915,0.91,,,1.7254,1.7345,1.6585,0.0,,60903.0684,60903.0684,25121.9808,328876.5694,328876.5694,0
47,002594.SZ,20231124,216.85,2.4096,3.426,3.26,37.9776,22.0128,4.8614,1.4887,1.091,0.0484,0.5266,291114.2855,116476.4604,81919.5714,63128132.8107,25257920.4377,0
48,002950.SZ,20231124,10.37,1.4851,3.0129,1.68,16.143,18.2249,2.045,1.5597,2.0771,2.0251,0.5786,63326.5407,45199.5209,22278.8373,656696.2271,468719.0317,0
49,300418.SZ,20231124,33.21,3.7232,5.2536,0.65,35.0111,58.1286,2.8169,8.5199,8.0403,0.1921,,121500.7204,110637.396,78407.6501,4035038.9245,3674267.9212,0
50,002048.SZ,20231124,13.68,1.1801,1.3804,0.83,11.0578,10.8049,0.9316,0.5674,0.5051,0.8991,1.8269,81409.5508,52200.0683,44627.8898,1113682.6549,714096.9343,0
51,300438.SZ,20231124,29.4,2.0786,2.4749,0.78,23.5542,32.1824,2.616,1.6325,1.7823,0.1465,0.4674,50343.7324,35909.9032,30158.6491,1480105.7326,1055751.1541,0
52,601636.SH,20231124,8.09,0.5832,0.9788,0.56,16.4874,16.5535,1.7033,1.6307,1.481,9.8492,3.0831,268350.1346,268350.1346,159889.1945,2170952.5889,2170952.5889,0
53,002715.SZ,20231124,16.03,0.9488,1.8744,0.62,,,5.4662,4.3615,4.0245,0.0,,13800.0,13800.0,6985.8072,221214.0,221214.0,0
54,002858.SZ,20231124,16.73,5.2476,6.1444,0.78,,,3.635,10.4602,6.9423,0.0,,16149.9338,14603.9513,12472.4213,270188.3925,244324.1052,0
55,600900.SH,20231124,22.68,0.2353,0.5363,1.41,26.0424,23.2302,2.8141,10.6595,8.0841,3.3412,3.6206,2446821.7716,2354629.5291,1032932.3372,55493917.7799,53402997.72,0
56,301017.SZ,20231124,20.94,3.5948,6.9101,2.82,36.9951,32.4827,3.8868,1.085,0.9317,0.3486,0.5492,40534.0275,10930.0275,5686.0275,848782.5359,228874.7759,0
57,600073.SH,20231124,7.12,1.4535,2.3364,1.74,13.2797,16.4215,1.3455,0.2672,0.2879,1.4045,2.2612,93772.9472,93772.9472,58336.4598,667663.3841,667663.3841,0
58,603916.SH,20231124,11.98,0.6357,1.2709,0.95,17.4872,25.9676,1.2285,1.3554,1.4079,3.005,2.5042,42031.0581,42031.0581,21025.0581,503532.076,503532.076,0
