,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
0,603402.SH,20260123,159.26,11.6626,11.6626,0.55,24.0674,32.7837,4.2752,9.7538,11.6537,,,7733.3334,1933.3334,1933.3334,1231610.6773,307902.6773,0
1,603402.SH,20260122,162.0,19.4241,19.4241,0.87,24.4815,33.3478,4.3488,9.9216,11.8542,,,7733.3334,1933.3334,1933.3334,1252800.0108,313200.0108,0
2,603402.SH,20260121,152.67,13.6884,13.6884,0.51,23.0716,31.4272,4.0983,9.3502,11.1715,,,7733.3334,1933.3334,1933.3334,1180648.0102,295162.0102,0
3,603402.SH,20260120,153.0,17.7867,17.7867,0.51,23.1214,31.4951,4.1072,9.3704,11.1956,,,7733.3334,1933.3334,1933.3334,1183200.0102,295800.0102,0
4,603402.SH,20260119,156.9,25.1617,25.1617,0.59,23.7108,32.2979,4.2119,9.6092,11.481,,,7733.3334,1933.3334,1933.3334,1213360.0105,303340.0105,0
5,603402.SH,20260116,155.3,30.7764,30.7764,0.7,23.469,31.9686,4.1689,9.5112,11.3639,,,7733.3334,1933.3334,1933.3334,1200986.677,300246.677,0
6,603402.SH,20260115,155.84,24.6965,24.6965,0.52,23.5506,32.0797,4.1834,9.5443,11.4034,,,7733.3334,1933.3334,1933.3334,1205162.6771,301290.6771,1
7,603402.SH,20260114,141.67,35.8976,35.8976,0.68,21.4092,29.1628,3.803,8.6765,10.3666,,,7733.3334,1933.3334,1933.3334,1095581.3428,273895.3428,0
8,603402.SH,20260113,146.0,56.8087,56.8087,1.01,22.0636,30.0542,3.9193,8.9417,10.6834,,,7733.3334,1933.3334,1933.3334,1129066.6764,282266.6764,0
9,603402.SH,20260112,138.5,65.7932,65.7932,,20.9302,28.5103,3.7179,8.4823,10.1346,,,7733.3334,1933.3334,1933.3334,1071066.6759,267766.6759,0
10,603402.SH,20260109,129.79,36.3595,36.3595,,19.6139,26.7173,3.4841,7.9489,9.4973,,,7733.3334,1933.3334,1933.3334,1003709.342,250927.342,0
11,603402.SH,20260108,132.0,41.6594,41.6594,,19.9479,27.1723,3.5434,8.0842,9.659,,,7733.3334,1933.3334,1933.3334,1020800.0088,255200.0088,0
12,603402.SH,20260107,140.83,62.46,62.46,,21.2823,28.9899,3.7805,8.625,10.3051,,,7733.3334,1933.3334,1933.3334,1089085.3427,272271.3427,0
13,603402.SH,20260106,132.0,74.4098,74.4098,,19.9479,27.1723,3.5434,8.0842,9.659,,,7733.3334,1933.3334,1933.3334,1020800.0088,255200.0088,0
