ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
688049.SH,20260120,57.42,3.5963,4.7411,,94.369,53.6958,5.1265,15.4295,11.0853,,,17516.765,17516.765,13287.0344,1005812.6463,1005812.6463,0
688049.SH,20260119,57.47,3.7887,4.9947,0.69,94.4512,53.7425,5.131,15.443,11.0949,,,17516.765,17516.765,13287.0344,1006688.4846,1006688.4846,0
688049.SH,20260116,58.35,4.9528,6.5295,0.94,95.8975,54.5655,5.2096,15.6794,11.2648,,,17516.765,17516.765,13287.0344,1022103.2378,1022103.2378,0
688049.SH,20260115,57.16,3.4582,4.559,,93.9417,53.4526,5.1033,15.3597,11.0351,,,17516.765,17516.765,13287.0344,1001258.2874,1001258.2874,0
688049.SH,20260114,57.54,7.0991,9.359,1.51,94.5662,53.808,5.1372,15.4618,11.1084,,,17516.765,17516.765,13287.0344,1007914.6581,1007914.6581,0
688049.SH,20260113,55.74,5.6805,7.4888,,91.608,52.1247,4.9765,14.9781,10.7609,,,17516.765,17516.765,13287.0344,976384.4811,976384.4811,0
688049.SH,20260112,57.29,6.2333,8.2176,1.52,94.1554,53.5742,5.1149,15.3946,11.0602,,,17516.765,17516.765,13287.0344,1003535.4669,1003535.4669,0
688049.SH,20260109,55.4,3.9304,5.1815,1.0,91.0492,51.8068,4.9462,14.8867,10.6953,,,17516.765,17516.765,13287.0344,970428.781,970428.781,0
688049.SH,20260108,55.2,3.9914,5.262,,90.7205,51.6198,4.9283,14.833,10.6567,,,17516.765,17516.765,13287.0344,966925.428,966925.428,0
688049.SH,20260107,55.78,3.7426,4.9339,1.09,91.6737,52.1621,4.9801,14.9888,10.7687,,,17516.765,17516.765,13287.0344,977085.1517,977085.1517,0
688049.SH,20260106,55.44,4.3069,5.6779,1.28,91.1149,51.8442,4.9498,14.8975,10.703,,,17516.765,17516.765,13287.0344,971129.4516,971129.4516,0
688049.SH,20260105,55.15,4.4746,5.899,1.26,90.6383,51.573,4.9239,14.8195,10.647,,,17516.765,17516.765,13287.0344,966049.5898,966049.5898,0
