,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
0,920121.BJ,20260123,44.78,7.5084,7.5084,1.0,29.058,26.6607,3.8919,5.4976,5.0667,,,6606.8183,1189.2274,1189.2274,295853.3235,53253.603,0
1,920121.BJ,20260122,44.32,6.4263,6.4263,0.81,28.7595,26.3869,3.852,5.4411,5.0146,,,6606.8183,1189.2274,1189.2274,292814.1871,52706.5584,0
2,920121.BJ,20260121,44.54,6.3976,6.3976,0.66,28.9023,26.5178,3.8711,5.4681,5.0395,,,6606.8183,1189.2274,1189.2274,294267.6871,52968.1884,0
3,920121.BJ,20260120,44.73,8.0287,8.0287,0.68,29.0256,26.631,3.8876,5.4914,5.061,,,6606.8183,1189.2274,1189.2274,295522.9826,53194.1416,0
4,920121.BJ,20260119,44.36,8.2524,8.2524,0.62,28.7855,26.4107,3.8554,5.446,5.0191,,,6606.8183,1189.2274,1189.2274,293078.4598,52754.1275,0
5,920121.BJ,20260116,44.62,8.5657,8.5657,0.62,28.9542,26.5655,3.878,5.4779,5.0486,,,6606.8183,1189.2274,1189.2274,294796.2325,53063.3266,0
6,920121.BJ,20260115,45.04,8.6179,8.6179,0.59,29.2268,26.8155,3.9145,5.5295,5.0961,,,6606.8183,1189.2274,1189.2274,297571.0962,53562.8021,0
7,920121.BJ,20260114,45.01,14.6791,14.6791,0.99,29.2073,26.7977,3.9119,5.5258,5.0927,,,6606.8183,1189.2274,1189.2274,297372.8917,53527.1253,0
8,920121.BJ,20260113,45.28,18.9483,18.9483,1.41,29.3825,26.9584,3.9354,5.5589,5.1232,,,6606.8183,1189.2274,1189.2274,299156.7326,53848.2167,0
9,920121.BJ,20260112,45.44,16.0823,16.0823,1.16,29.4863,27.0537,3.9493,5.5786,5.1413,,,6606.8183,1189.2274,1189.2274,300213.8236,54038.4931,0
10,920121.BJ,20260109,45.14,10.3763,10.3763,0.68,29.2916,26.8751,3.9232,5.5418,5.1074,,,6606.8183,1189.2274,1189.2274,298231.7781,53681.7248,0
11,920121.BJ,20260108,45.25,12.8095,12.8095,0.7,29.363,26.9406,3.9328,5.5553,5.1198,,,6606.8183,1189.2274,1189.2274,298958.5281,53812.5399,0
12,920121.BJ,20260107,45.87,15.7282,15.7282,0.68,29.7653,27.3097,3.9867,5.6314,5.19,,,6606.8183,1189.2274,1189.2274,303054.7554,54549.8608,0
13,920121.BJ,20260106,45.23,12.0269,12.0269,0.37,29.35,26.9286,3.9311,5.5528,5.1176,,,6606.8183,1189.2274,1189.2274,298826.3917,53788.7553,0
14,920121.BJ,20260105,45.22,18.5028,18.5028,0.39,29.3436,26.9227,3.9302,5.5516,5.1164,,,6606.8183,1189.2274,1189.2274,298760.3235,53776.863,0
