ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
920374.BJ,20221230,8.85,0.0785,0.1765,0.27,16.0615,23.0063,3.1113,3.4886,4.1486,,,8151.8,2799.4202,1244.8802,72143.43,24774.8688,0.0
920374.BJ,20221229,8.84,0.2936,0.6603,1.07,16.0433,22.9803,3.1077,3.4847,4.144,,,8151.8,2799.4202,1244.8802,72061.912,24746.8746,0.0
920374.BJ,20221228,8.98,0.2144,0.4822,0.73,16.2974,23.3442,3.157,3.5399,4.2096,,,8151.8,2799.4202,1244.8802,73203.164,25138.7934,0.0
920374.BJ,20221227,9.0,0.2467,0.5547,0.81,16.3337,23.3962,3.164,3.5478,4.219,,,8151.8,2799.4202,1244.8802,73366.2,25194.7818,0.0
920374.BJ,20221226,8.95,0.3832,0.8616,1.28,16.243,23.2662,3.1464,3.5281,4.1955,,,8151.8,2799.4202,1244.8802,72958.61,25054.8108,0.0
920374.BJ,20221223,8.91,0.3278,0.7371,1.03,16.1704,23.1622,3.1323,3.5123,4.1768,,,8151.8,2799.4202,1244.8802,72632.538,24942.834,0.0
920374.BJ,20221222,9.0,0.2064,0.4643,0.59,16.3337,23.3962,3.164,3.5478,4.219,,,8151.8,2799.4202,1244.8802,73366.2,25194.7818,0.0
920374.BJ,20221221,9.07,0.3033,0.6819,0.87,16.4608,23.5782,3.1886,3.5754,4.2518,,,8151.8,2799.4202,1244.8802,73936.826,25390.7412,0.0
920374.BJ,20221220,9.11,0.2992,0.6729,0.77,16.5334,23.6822,3.2027,3.5911,4.2705,,,8151.8,2799.4202,1244.8802,74262.898,25502.718,0.0
920374.BJ,20221219,9.2,0.3593,0.8079,0.82,16.6967,23.9161,3.2343,3.6266,4.3127,,,8151.8,2799.4202,1244.8802,74996.56,25754.6658,0.0
920374.BJ,20221216,9.31,0.4296,0.966,0.82,16.8963,24.2021,3.273,3.67,4.3643,,,8151.8,2799.4202,1244.8802,75893.258,26062.6021,0.0
920374.BJ,20221215,9.4,0.3582,0.8054,0.5,17.0597,24.436,3.3046,3.7054,4.4065,,,8151.8,2799.4202,1244.8802,76626.92,26314.5499,0.0
920374.BJ,20221214,9.44,0.291,0.6544,0.37,17.1323,24.54,3.3187,3.7212,4.4252,,,8151.8,2799.4202,1244.8802,76952.992,26426.5267,0.0
920374.BJ,20221213,9.41,0.5031,1.1313,0.6,17.0778,24.462,3.3081,3.7094,4.4112,,,8151.8,2799.4202,1244.8802,76708.438,26342.5441,
920374.BJ,20221212,9.43,0.6106,1.3732,0.68,17.1141,24.514,3.3152,3.7173,4.4205,,,8151.8,2799.4202,1244.8802,76871.474,26398.5325,
920374.BJ,20221209,9.48,0.8408,1.8907,0.87,17.2048,24.644,3.3327,3.737,4.444,,,8151.8,2799.4202,1244.8802,77279.064,26538.5035,0.0
920374.BJ,20221208,9.58,1.3627,3.0645,1.3,17.3863,24.904,3.3679,3.7764,4.4908,,,8151.8,2799.4202,1244.8802,78094.244,26818.4455,0.0
920374.BJ,20221207,9.67,0.6676,1.5012,0.45,17.5497,25.1379,3.3995,3.8119,4.533,,,8151.8,2799.4202,1244.8802,78827.906,27070.3933,0.0
920374.BJ,20221206,9.69,0.7439,1.6728,0.17,17.586,25.1899,3.4066,3.8198,4.5424,,,8151.8,2799.4202,1244.8802,78990.942,27126.3817,0.0
920374.BJ,20221205,9.73,0.8845,1.9891,,17.6586,25.2939,3.4206,3.8355,4.5612,,,8151.8,2799.4202,1244.8802,79317.014,27238.3585,0.0
920374.BJ,20221202,9.69,1.1773,2.6475,,17.586,25.1899,3.4066,3.8198,4.5424,,,8151.8,2799.4202,1244.8802,78990.942,27126.3817,0.0
920374.BJ,20221201,9.7,1.7489,3.9327,,17.6041,25.2159,3.4101,3.8237,4.5471,,,8151.8,2799.4202,1244.8802,79072.46,27154.3759,0.0
920374.BJ,20221130,9.68,2.7375,5.74,,17.5678,25.1639,3.1674,3.8158,4.5377,,,8151.8,2971.9202,1417.3802,78909.424,28768.1875,0.0
920374.BJ,20221129,9.85,14.4397,30.2768,,17.8763,25.6058,3.223,3.8828,4.6174,,,8151.8,2971.9202,1417.3802,80295.23,29273.414,0.0
