、,ts_code,ts_name,buy_amount,sell_amount,net_amount,hm_name,hm_orgs,tag
20251211,601933.SH,永辉超市,215593487.9,215068657.8,524830.03,陈小群,中国银河证券股份有限公司大连黄河路证券营业部,
20251211,600250.SH,南京商旅,20785059,0,20785059,量化抢筹,中国银河证券股份有限公司北京中关村大街证券营业部,
20251211,600493.SH,凤竹纺织,0,5054116,-5054116,量化抢筹,中国银河证券股份有限公司北京中关村大街证券营业部,
20251211,301329.SZ,信音电子,77820,4986810,-4908990,量化抢筹,中国银河证券股份有限公司北京中关村大街证券营业部,
20251211,603709.SH,中源家居,0,7328749.46,-7328749.46,量化打板,华鑫证券有限责任公司上海分公司,
20251211,300266.SZ,兴源环境,8044060,0,8044060,量化打板,华鑫证券有限责任公司成都交子大道证券营业部,
20251211,600250.SH,南京商旅,12381918,0,12381918,量化打板,国新证券股份有限公司北京中关村大街证券营业部,
20251211,600678.SH,四川金顶,0,21508864,-21508864,量化打板,国新证券股份有限公司北京中关村大街证券营业部,
20251211,000890.SZ,法尔胜,16404033,2305,16401728,量化打板,国新证券股份有限公司北京中关村大街证券营业部,
20251211,603709.SH,中源家居,0,11029586,-11029586,量化打板,国新证券股份有限公司北京中关村大街证券营业部,
20251211,603344.SH,星德胜,11080524,0,11080524,量化打板,国新证券股份有限公司北京中关村大街证券营业部,
20251211,600678.SH,四川金顶,0,14736038,-14736038,量化打板,国新证券股份有限公司长沙韶山路证券营业部,
20251211,603344.SH,星德胜,13531737,0,13531737,量化打板,国新证券股份有限公司长沙韶山路证券营业部,
20251211,688270.SH,臻镭科技,0,46339900,-46339900,量化打板,天风证券股份有限公司浙江分公司,
20251211,002202.SZ,金风科技,119944517,132948,119811569,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,002544.SZ,普天科技,61195824,80928,61114896,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,002639.SZ,雪人集团,123945366,282742,123662624,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,603601.SH,再升科技,60483360,0,60483360,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,002682.SZ,龙洲股份,137885,98469406,-98331521,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,601933.SH,永辉超市,0,244042661.9,-244042661.9,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,603344.SH,星德胜,26257881,0,26257881,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,000950.SZ,重药控股,33691303,645,33690658,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,600678.SH,四川金顶,77242031,0,77242031,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,605358.SH,立昂微,72754314.9,0,72754314.9,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,300265.SZ,通光线缆,56732696,0,56732696,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,300266.SZ,兴源环境,63222925,36225,63186700,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,688119.SH,中钢洛耐,19719700,0,19719700,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,300189.SZ,神农种业,244877,41553757,-41308880,量化打板,开源证券股份有限公司西安西大街证券营业部,
20251211,600493.SH,凤竹纺织,9094068,0,9094068,量化基金,中信证券股份有限公司上海分公司,
20251211,605058.SH,澳弘电子,0,3001193,-3001193,量化基金,中信证券股份有限公司上海分公司,
20251211,600280.SH,中央商场,20443576,0,20443576,量化基金,中信证券股份有限公司上海分公司,
20251211,600330.SH,天通股份,91826157.66,0,91826157.66,量化基金,中信证券股份有限公司上海分公司,
20251211,603344.SH,星德胜,0,7219695,-7219695,量化基金,中信证券股份有限公司上海分公司,
20251211,600343.SH,航天动力,0,79190162,-79190162,量化基金,中国国际金融股份有限公司上海分公司,
20251211,605058.SH,澳弘电子,1808600,0,1808600,量化基金,中国国际金融股份有限公司上海分公司,
20251211,002565.SZ,顺灏股份,23235816,74919603,-51683787,量化基金,中国国际金融股份有限公司上海分公司,
20251211,001280.SZ,中国铀业,50530941,31128218,19402723,量化基金,中国国际金融股份有限公司上海分公司,
20251211,301117.SZ,佳缘科技,8323532,17201401,-8877869,量化基金,中国国际金融股份有限公司上海分公司,
20251211,603778.SH,国晟科技,49980686.5,0,49980686.5,量化基金,中国国际金融股份有限公司上海分公司,
20251211,300427.SZ,红相股份,27024067,34107270,-7083203,量化基金,中国国际金融股份有限公司上海分公司,
20251211,603778.SH,国晟科技,0,42661169,-42661169,量化基金,中国国际金融股份有限公司北京建国门外大街证券营业部,
20251211,603601.SH,再升科技,0,19423110,-19423110,量化基金,华泰证券股份有限公司总部,
20251211,600250.SH,南京商旅,14655959,10449486,4206473,量化基金,国泰海通证券股份有限公司总部,
20251211,600678.SH,四川金顶,26615930.41,30128314,-3512383.59,量化基金,国泰海通证券股份有限公司总部,
20251211,605058.SH,澳弘电子,3646311.71,0,3646311.71,量化基金,国泰海通证券股份有限公司总部,
20251211,600280.SH,中央商场,0,11845512.7,-11845512.7,量化基金,国泰海通证券股份有限公司总部,
20251211,603344.SH,星德胜,0,11522431.32,-11522431.32,量化基金,国泰海通证券股份有限公司总部,
20251211,603376.SH,大明电子,4970984,7520832,-2549848,量化基金,国泰海通证券股份有限公司总部,
20251211,603778.SH,国晟科技,157197640,73501820.98,83695819.02,量化基金,国泰海通证券股份有限公司总部,
20251211,603709.SH,中源家居,0,19749115.6,-19749115.6,量化基金,国泰海通证券股份有限公司总部,
20251211,688119.SH,中钢洛耐,0,5005200,-5005200,量化基金,国泰海通证券股份有限公司总部,
20251211,688662.SH,富信科技,30397100,15542000,14855100,量化基金,国泰海通证券股份有限公司总部,
20251211,600693.SH,东百集团,0,38000764,-38000764,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,600493.SH,凤竹纺织,0,5508084,-5508084,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,603709.SH,中源家居,16075799.9,17313605,-1237805.1,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,600330.SH,天通股份,0,54081373.74,-54081373.74,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,603376.SH,大明电子,0,6895883,-6895883,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,603778.SH,国晟科技,68700326.55,0,68700326.55,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,600678.SH,四川金顶,32899632,14308147,18591485,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,605358.SH,立昂微,108650693.4,0,108650693.4,量化基金,摩根大通证券(中国)有限公司上海银城中路证券营业部,
20251211,600493.SH,凤竹纺织,7259697,0,7259697,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,600280.SH,中央商场,0,12377159,-12377159,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,600330.SH,天通股份,96059656.26,0,96059656.26,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,603376.SH,大明电子,0,6275280,-6275280,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,603709.SH,中源家居,0,16806626,-16806626,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,605358.SH,立昂微,0,63652125.74,-63652125.74,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,688270.SH,臻镭科技,69397600,45945600,23452000,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,688662.SH,富信科技,35502000,0,35502000,量化基金,瑞银证券有限责任公司上海花园石桥路证券营业部,
20251211,688270.SH,臻镭科技,96165900,53746400,42419500,量化基金,高盛（中国）证券有限责任公司上海浦东新区世纪大道证券营业部,
20251211,688662.SH,富信科技,0,16065700,-16065700,量化基金,高盛（中国）证券有限责任公司上海浦东新区世纪大道证券营业部,
20251211,920091.BJ,大鹏工业,13346921.09,244499,13102422.09,苏州帮,东吴证券股份有限公司苏州西北街证券营业部,
20251211,600330.SH,天通股份,79368518,0,79368518,苏南帮,华泰证券股份有限公司南京江宁天元东路证券营业部,
20251211,600228.SH,*ST返利,849350,0,849350,苏南帮,华泰证券股份有限公司镇江句容华阳北路证券营业部,
20251211,605358.SH,立昂微,0,130522285.3,-130522285.3,红岭路,平安证券股份有限公司深圳分公司,
20251211,600693.SH,东百集团,52376402.73,0,52376402.73,粉葛,东亚前海证券有限责任公司深圳分公司,
20251211,603506.SH,南都物业,18741432,0,18741432,粉葛,东亚前海证券有限责任公司深圳分公司,
20251211,603709.SH,中源家居,8904512.8,0,8904512.8,益田路,华鑫证券有限责任公司深圳益田路证券营业部,
20251211,000950.SZ,重药控股,29358600,64500,29294100,瑞鹤仙,中国银河证券股份有限公司宜昌新世纪证券营业部,
20251211,600343.SH,航天动力,91989245.95,0,91989245.95,玉兰路,东莞证券股份有限公司南京分公司,
20251211,001280.SZ,中国铀业,2840362,212834990,-209994628,玉兰路,东莞证券股份有限公司南京分公司,
20251211,002512.SZ,达华智能,32356189,2365396,29990793,独股一剑,华泰证券股份有限公司北京月坛南街证券营业部,
20251211,300266.SZ,兴源环境,12100900,0,12100900,炒股养家,华鑫证券有限责任公司上海宛平南路证券营业部,
20251211,603709.SH,中源家居,15544961,0,15544961,炒股养家,华鑫证券有限责任公司上海红宝石路证券营业部,
20251211,300640.SZ,德艺文创,0,28749126,-28749126,炒股养家,华鑫证券有限责任公司北京光华路证券营业部,
20251211,300265.SZ,通光线缆,24109684,0,24109684,温州帮,东方证券股份有限公司上海松江区沪亭北路证券营业部,
20251211,603879.SH,永悦科技,0,18975110,-18975110,温州帮,信达证券股份有限公司温州瓯江路证券营业部,
20251211,603709.SH,中源家居,15843673.6,0,15843673.6,温州帮,信达证券股份有限公司温州瓯江路证券营业部,
20251211,000890.SZ,法尔胜,1739496,10565647,-8826151,温州帮,华泰证券股份有限公司江阴福泰路证券营业部,
20251211,600678.SH,四川金顶,23683432,0,23683432,温州帮,广发证券股份有限公司台州东海大道证券营业部,
20251211,002202.SZ,金风科技,2551900,35911020,-33359120,温州帮,招商证券股份有限公司深圳深南大道车公庙证券营业部,
20251211,000063.SZ,中兴通讯,102453588,19560,102434028,温州帮,长城证券股份有限公司杭州民心路证券营业部,
20251211,002157.SZ,正邦科技,189061406,252603884,-63542478,深股通专用,深股通专用,
20251211,002202.SZ,金风科技,206170742,137539927,68630815,深股通专用,深股通专用,
20251211,002519.SZ,银河电子,51130698,63222347,-12091649,深股通专用,深股通专用,
20251211,002544.SZ,普天科技,103743791,107224466,-3480675,深股通专用,深股通专用,
20251211,002639.SZ,雪人集团,101775812,58693459,43082353,深股通专用,深股通专用,
20251211,000063.SZ,中兴通讯,371319418,476833089,-105513671,深股通专用,深股通专用,
20251211,000070.SZ,特发信息,84029322,128070040,-44040718,深股通专用,深股通专用,
20251211,002512.SZ,达华智能,68983866,91836617,-22852751,深股通专用,深股通专用,
20251211,002632.SZ,道明光学,25165447,58478993,-33313546,深股通专用,深股通专用,
20251211,600343.SH,航天动力,167719008.6,260777047.7,-93058039.07,沪股通专用,沪股通专用,
20251211,600693.SH,东百集团,192074602.5,206280382.8,-14205780.32,沪股通专用,沪股通专用,
20251211,600846.SH,同济科技,0,22938352.55,-22938352.55,沪股通专用,沪股通专用,
20251211,603668.SH,天马科技,28812840.92,46299692.44,-17486851.52,沪股通专用,沪股通专用,
20251211,600828.SH,茂业商业,0,24912355.28,-24912355.28,沪股通专用,沪股通专用,
20251211,601933.SH,永辉超市,100073169,0,100073169,沪股通专用,沪股通专用,
20251211,600330.SH,天通股份,106687953.5,86013705.86,20674247.6,沪股通专用,沪股通专用,
20251211,605358.SH,立昂微,175991340.4,109170704.6,66820635.76,沪股通专用,沪股通专用,
20251211,688270.SH,臻镭科技,283082500,200033500,83049000,沪股通专用,沪股通专用,
20251211,002157.SZ,正邦科技,422988821,77073167,345915654,机构专用,机构专用,
20251211,002202.SZ,金风科技,84377763,73008868,11368895,机构专用,机构专用,
20251211,002519.SZ,银河电子,8713918,39556729,-30842811,机构专用,机构专用,
20251211,002544.SZ,普天科技,141856367,115399697,26456670,机构专用,机构专用,
20251211,002639.SZ,雪人集团,92757175,177020594,-84263419,机构专用,机构专用,
20251211,301137.SZ,哈焊华通,167464706,212136552,-44671846,机构专用,机构专用,
20251211,000063.SZ,中兴通讯,1034107229,401837937,632269292,机构专用,机构专用,
20251211,000070.SZ,特发信息,50610445,225128998,-174518553,机构专用,机构专用,
20251211,002512.SZ,达华智能,63522979,52437868,11085111,机构专用,机构专用,
20251211,002632.SZ,道明光学,12339433,85714243,-73374810,机构专用,机构专用,
20251211,600846.SH,同济科技,9930679.38,0,9930679.38,机构专用,机构专用,
20251211,605058.SH,澳弘电子,0,9679993.74,-9679993.74,机构专用,机构专用,
20251211,000890.SZ,法尔胜,18025100,26467664,-8442564,机构专用,机构专用,
20251211,002105.SZ,信隆健康,44158036,72383280,-28225244,机构专用,机构专用,
20251211,002565.SZ,顺灏股份,430778045,588383906,-157605861,机构专用,机构专用,
20251211,002682.SZ,龙洲股份,161380268,166550391,-5170123,机构专用,机构专用,
20251211,601933.SH,永辉超市,0,394575494,-394575494,机构专用,机构专用,
20251211,001280.SZ,中国铀业,405514744,224101976,181412768,机构专用,机构专用,
20251211,001360.SZ,南矿集团,67727123,91433272,-23706149,机构专用,机构专用,
20251211,001386.SZ,马可波罗,19316843,1278585,18038258,机构专用,机构专用,
20251211,301117.SZ,佳缘科技,121495784,107102276,14393508,机构专用,机构专用,
20251211,301329.SZ,信音电子,23245817,20350381,2895436,机构专用,机构专用,
20251211,920035.BJ,精创电气,9639866.92,1723654.2,7916212.72,机构专用,机构专用,
20251211,920091.BJ,大鹏工业,13821116.52,8164497.9,5656618.62,机构专用,机构专用,
20251211,002235.SZ,安妮股份,51664748,27340893,24323855,机构专用,机构专用,
20251211,603506.SH,南都物业,0,15993818,-15993818,机构专用,机构专用,
20251211,002589.SZ,瑞康医药,116140801,228303064,-112162263,机构专用,机构专用,
20251211,300265.SZ,通光线缆,22214569,36437069,-14222500,机构专用,机构专用,
20251211,300266.SZ,兴源环境,2481879,6122390,-3640511,机构专用,机构专用,
20251211,688662.SH,富信科技,144754500,0,144754500,机构专用,机构专用,
20251211,300460.SZ,ST惠伦,0,2718000,-2718000,机构专用,机构专用,
20251211,300189.SZ,神农种业,286357183,261313391,25043792,机构专用,机构专用,
