ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
301008.SZ,宏昌科技,20251201,36.68,37.13,36.42,37.06,36.91,0.15,34178.95,125559.084,2.9504,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251128,36.3,37.45,35.8,36.91,36.0,0.91,29999.21,110402.524,2.5896,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251127,36.63,37.29,35.42,36.0,36.87,-0.87,31625.38,114923.202,2.73,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251126,36.59,37.98,35.9,36.87,36.5,0.37,30033.32,111498.423,2.5926,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251125,36.7,37.2,36.3,36.5,36.36,0.14,19296.24,70892.761,1.6657,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251124,35.87,36.86,35.4,36.36,35.87,0.49,24578.1,89490.071,2.1217,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251121,37.12,37.54,35.55,35.87,37.24,-1.37,25061.17,91171.079,2.1634,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251120,37.0,37.98,36.71,37.24,36.84,0.4,20272.9,75469.054,1.75,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251119,37.88,38.01,36.5,36.84,37.93,-1.09,20891.27,77526.765,1.8034,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251118,38.61,38.71,37.47,37.93,38.6,-0.67,24761.2,93935.52,2.1375,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251117,38.02,39.37,38.0,38.6,37.82,0.78,33055.88,128293.69,2.8535,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251114,37.8,38.3,37.28,37.82,38.43,-0.61,24802.9,93924.918,2.1411,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251113,36.55,38.97,36.28,38.43,36.36,2.07,61049.93,233215.033,5.27,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251112,37.35,37.83,35.8,36.36,37.55,-1.19,56265.2,205662.252,4.857,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251111,38.56,38.88,37.37,37.55,38.55,-1.0,43750.96,165688.481,3.7767,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251110,39.4,39.41,38.21,38.55,38.95,-0.4,34055.06,132191.48,2.9398,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251107,41.01,41.41,38.6,38.95,41.59,-2.64,68171.52,268169.85,5.8848,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251106,42.53,42.93,41.11,41.59,43.12,-1.53,72011.69,299983.179,6.2163,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251105,41.29,44.3,40.81,43.12,41.98,1.14,71138.66,303563.233,6.1409,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251104,43.1,43.77,41.01,41.98,43.12,-1.14,67293.45,283068.388,5.809,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251103,42.09,43.49,41.15,43.12,41.92,1.2,87138.87,370821.487,7.5221,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251031,39.62,42.77,39.62,41.92,40.12,1.8,94184.57,395787.318,8.1303,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251030,41.02,42.81,39.73,40.12,40.81,-0.69,91701.16,376135.935,7.916,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251029,40.0,40.96,39.9,40.81,40.37,0.44,41445.83,167708.467,3.5778,11584.3234,浙江,家用电器,创业板
301008.SZ,宏昌科技,20251028,39.9,41.24,39.5,40.37,39.93,0.44,61362.65,248124.693,5.297,11584.3234,浙江,家用电器,创业板
