ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
600736.SH,苏州高新,20251201,5.58,5.82,5.56,5.76,5.6,0.16,314853.01,178921.173,2.7348,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251128,5.55,5.61,5.51,5.6,5.59,0.01,207354.79,115021.189,1.8011,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251127,5.68,5.68,5.51,5.59,5.79,-0.2,377098.52,210189.604,3.2754,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251126,5.99,5.99,5.75,5.79,5.58,0.21,590034.56,345134.833,5.125,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251125,5.59,5.63,5.55,5.58,5.56,0.02,113542.2,63552.139,0.9862,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251124,5.57,5.61,5.5,5.56,5.53,0.03,144045.0,80189.532,1.2512,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251121,5.77,5.77,5.53,5.53,5.78,-0.25,223585.13,125949.88,1.942,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251120,5.84,5.86,5.74,5.78,5.8,-0.02,139608.94,80936.442,1.2126,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251119,5.93,6.0,5.78,5.8,5.97,-0.17,219098.58,128130.398,1.9031,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251118,6.15,6.16,5.91,5.97,6.13,-0.16,245832.31,147047.47,2.1353,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251117,6.08,6.14,6.04,6.13,6.13,0.0,187241.8,114123.443,1.6264,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251114,6.1,6.26,6.08,6.13,6.12,0.01,287786.31,177347.446,2.4997,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251113,6.04,6.13,5.98,6.12,6.07,0.05,231844.2,141073.707,2.0138,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251112,6.08,6.11,5.97,6.07,6.08,-0.01,193121.0,116520.123,1.6774,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251111,6.01,6.09,5.99,6.08,6.02,0.06,215599.0,130404.461,1.8727,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251110,5.98,6.02,5.94,6.02,5.97,0.05,161359.8,96712.03,1.4016,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251107,5.97,6.05,5.96,5.97,5.99,-0.02,175159.0,105066.273,1.5214,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251106,5.98,6.02,5.94,5.99,6.0,-0.01,155925.8,93329.485,1.3544,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251105,5.9,6.04,5.85,6.0,5.94,0.06,202708.27,121241.243,1.7607,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251104,5.98,6.01,5.92,5.94,6.01,-0.07,178680.32,106516.786,1.552,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251103,5.93,6.05,5.89,6.01,5.94,0.07,255609.69,152605.392,2.2202,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251031,5.87,5.98,5.87,5.94,5.85,0.09,220627.67,131082.885,1.9163,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251030,5.96,5.96,5.81,5.85,5.96,-0.11,215334.6,126455.775,1.8704,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251029,5.99,6.08,5.94,5.96,5.99,-0.03,248843.0,148822.288,2.1614,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251028,5.97,6.11,5.94,5.99,5.97,0.02,276716.32,165971.319,2.4035,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251027,5.99,6.02,5.95,5.97,5.98,-0.01,195277.74,116754.091,1.6962,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251024,6.16,6.16,5.97,5.98,6.09,-0.11,239105.04,144019.251,2.0768,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251023,6.14,6.17,5.99,6.09,6.13,-0.04,280308.28,169730.992,2.4347,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251022,5.99,6.28,5.97,6.13,6.0,0.13,502239.29,308949.38,4.3624,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251021,5.8,6.01,5.8,6.0,5.82,0.18,318022.62,189416.357,2.7623,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251020,5.77,5.83,5.74,5.82,5.72,0.1,131819.4,76414.391,1.145,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251017,5.83,5.89,5.7,5.72,5.87,-0.15,193969.21,112329.204,1.6848,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251016,5.95,5.95,5.83,5.87,5.96,-0.09,173150.56,101802.742,1.504,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251015,5.95,6.02,5.9,5.96,5.97,-0.01,217507.62,129313.141,1.8892,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251014,6.03,6.14,5.93,5.97,6.0,-0.03,315326.47,189332.638,2.7389,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251013,5.83,6.02,5.82,6.0,6.04,-0.04,277555.13,164071.885,2.4108,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251010,6.01,6.07,5.95,6.04,6.01,0.03,399353.27,240688.895,3.4687,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20251009,5.85,6.06,5.79,6.01,5.85,0.16,417183.55,247291.23,3.6236,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250930,5.89,5.93,5.83,5.85,5.92,-0.07,251575.75,147863.933,2.1852,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250929,5.82,5.95,5.75,5.92,5.83,0.09,291503.45,171361.863,2.532,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250926,5.66,5.98,5.63,5.83,5.69,0.14,432863.95,254320.722,3.7598,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250925,5.79,5.84,5.69,5.69,5.83,-0.14,256769.22,147366.055,2.2303,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250924,5.55,5.89,5.51,5.83,5.56,0.27,434776.8,251831.436,3.7764,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250923,5.68,5.69,5.39,5.56,5.69,-0.13,278219.4,152708.664,2.4166,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250922,5.77,5.77,5.66,5.69,5.79,-0.1,141555.31,80511.553,1.2295,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250919,5.78,5.82,5.66,5.79,5.75,0.04,217042.3,124388.122,1.8852,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250918,5.93,5.93,5.71,5.75,5.92,-0.17,339269.4,197893.402,2.9469,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250917,5.91,5.95,5.83,5.92,5.9,0.02,287252.07,169441.296,2.495,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250916,5.75,5.96,5.74,5.9,5.77,0.13,381928.01,223874.288,3.3174,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250915,5.81,5.81,5.66,5.77,5.79,-0.02,275638.02,157960.898,2.3942,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250912,5.65,5.89,5.64,5.79,5.61,0.18,469607.8,271778.338,4.079,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250911,5.54,5.61,5.49,5.61,5.55,0.06,139786.85,77629.342,1.2142,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250910,5.56,5.58,5.52,5.55,5.56,-0.01,87344.1,48436.246,0.7587,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250909,5.57,5.63,5.54,5.56,5.57,-0.01,143636.83,80133.657,1.2476,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250908,5.53,5.59,5.52,5.57,5.53,0.04,150100.5,83475.406,1.3038,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250905,5.52,5.54,5.45,5.53,5.51,0.02,172777.89,94898.219,1.5007,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250904,5.49,5.54,5.45,5.51,5.47,0.04,147714.9,81224.028,1.283,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250903,5.57,5.58,5.45,5.47,5.57,-0.1,171092.4,94264.484,1.4861,115129.2907,江苏,园区开发,主板
