ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
920230.BJ,欧康医药,20251201,12.77,13.25,12.65,13.22,12.78,0.44,11411.52,14922.608,2.4431,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251128,12.98,13.05,12.72,12.78,12.98,-0.2,6208.49,7949.143,1.3292,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251127,13.27,13.27,12.92,12.98,13.1,-0.12,7916.29,10313.247,1.6948,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251126,13.17,13.5,13.01,13.1,13.17,-0.07,12363.67,16374.196,2.647,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251125,12.98,13.31,12.94,13.17,12.94,0.23,9619.68,12672.548,2.0595,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251124,13.13,13.13,12.81,12.94,12.95,-0.01,6890.93,8917.338,1.4753,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251121,13.5,13.58,12.84,12.95,13.52,-0.57,8730.45,11478.381,1.8691,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251120,13.77,14.03,13.51,13.52,13.77,-0.25,9573.83,13114.323,2.0497,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251119,14.1,14.16,13.66,13.77,14.1,-0.33,5993.45,8321.183,1.2831,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251118,14.42,14.52,14.07,14.1,14.41,-0.31,9461.31,13446.631,2.0256,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251117,14.87,15.0,14.35,14.41,14.85,-0.44,8554.29,12526.422,1.8314,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251114,14.93,15.3,14.83,14.85,15.04,-0.19,9075.02,13692.375,1.9429,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251113,15.15,15.29,14.88,15.04,15.04,0.0,10779.19,16285.135,2.3077,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251112,14.77,15.3,14.77,15.04,14.78,0.26,12997.14,19644.702,2.7826,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251111,14.97,15.06,14.67,14.78,14.9,-0.12,6508.49,9652.307,1.3934,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251110,14.8,14.93,14.61,14.9,14.73,0.17,5443.17,8051.425,1.1653,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251107,14.95,15.04,14.63,14.73,14.95,-0.22,9838.53,14574.501,2.1063,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251106,15.43,15.43,14.89,14.95,15.3,-0.35,7478.13,11242.083,1.601,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251105,15.1,15.41,14.96,15.3,15.22,0.08,9446.96,14409.883,2.0225,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251104,15.57,15.57,14.95,15.22,15.38,-0.16,11315.56,17159.179,2.4226,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251103,15.46,15.88,15.25,15.38,15.43,-0.05,16343.22,25418.935,3.4989,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251031,15.4,15.73,15.06,15.43,15.23,0.2,13221.25,20480.939,2.8306,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251030,15.35,15.73,15.0,15.23,15.38,-0.15,17840.46,27541.463,3.8195,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251029,14.7,15.41,14.34,15.38,14.7,0.68,25637.09,38643.918,5.4887,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251028,14.95,15.04,14.67,14.7,14.8,-0.1,6152.15,9118.541,1.3171,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251027,14.88,14.93,14.6,14.8,14.69,0.11,10336.57,15267.794,2.213,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251024,14.89,15.11,14.52,14.69,14.82,-0.13,11603.46,17157.982,2.4842,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251023,15.2,15.2,14.55,14.82,15.1,-0.28,13731.6,20306.825,2.9398,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251022,15.0,15.56,14.83,15.1,14.99,0.11,18085.25,27527.956,3.8719,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251021,14.58,15.17,14.34,14.99,14.34,0.65,22748.64,33840.434,4.8703,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251020,14.31,14.57,14.15,14.34,14.31,0.03,7824.31,11225.82,1.6751,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251017,14.53,14.73,14.28,14.31,14.52,-0.21,9220.32,13352.655,1.974,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251016,14.7,14.95,14.5,14.52,14.75,-0.23,8274.94,12143.669,1.7716,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251015,14.6,14.85,14.32,14.75,14.48,0.27,9660.71,14181.73,2.0683,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251014,14.6,14.87,14.32,14.48,14.42,0.06,7880.45,11516.949,1.6871,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251013,14.42,14.7,14.2,14.42,14.75,-0.33,11983.82,17308.364,2.5656,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251010,14.6,15.17,14.6,14.75,14.63,0.12,9566.19,14254.103,2.048,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20251009,14.82,14.95,14.51,14.63,14.85,-0.22,9506.47,13885.236,2.0353,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250930,15.2,15.2,14.85,14.85,15.0,-0.15,7243.44,10873.971,1.5508,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250929,15.17,15.2,14.8,15.0,15.15,-0.15,9448.9,14141.079,2.0229,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250926,15.77,15.77,15.12,15.15,15.64,-0.49,13141.04,20111.016,2.8134,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250925,16.12,16.12,15.6,15.64,16.09,-0.45,8204.5,12948.654,1.7565,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250924,15.86,16.25,15.78,16.09,15.87,0.22,7945.57,12729.551,1.7011,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250923,16.35,16.35,15.68,15.87,16.28,-0.41,15804.68,25157.943,3.3836,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250922,16.75,16.78,16.18,16.28,16.68,-0.4,10518.2,17314.074,2.2519,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250919,16.77,16.95,16.53,16.68,16.8,-0.12,10882.72,18216.867,2.3299,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250918,17.22,17.27,16.4,16.8,16.92,-0.12,22245.45,37699.449,4.7626,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250917,16.82,16.99,16.69,16.92,16.76,0.16,11955.37,20187.212,2.5595,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250916,17.04,17.04,16.48,16.76,16.96,-0.2,14469.67,24237.158,3.0978,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250915,17.19,17.28,16.92,16.96,17.11,-0.15,20730.08,35489.87,4.4381,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250912,17.14,17.3,16.92,17.11,17.15,-0.04,16865.6,28786.298,3.6108,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250911,17.5,17.52,16.91,17.15,17.2,-0.05,19864.88,33933.23,4.2529,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250910,17.0,17.2,16.71,17.2,17.01,0.19,13233.28,22470.32,2.8331,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250909,17.2,17.2,16.65,17.01,17.05,-0.04,17074.74,28749.573,3.6556,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250908,17.16,17.36,16.9,17.05,17.18,-0.13,24488.99,41837.436,5.2429,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250905,17.5,17.59,16.75,17.18,16.83,0.35,30096.18,51622.053,6.4433,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250904,16.38,16.93,16.33,16.83,16.2,0.63,27579.02,45902.453,5.9044,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250903,16.69,16.75,16.15,16.2,16.55,-0.35,16115.77,26544.194,3.4502,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250902,16.48,16.68,16.24,16.55,16.38,0.17,18893.37,31236.864,4.0449,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250901,16.2,16.38,15.85,16.38,16.01,0.37,16222.13,26288.702,3.473,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250829,15.98,16.44,15.96,16.01,15.97,0.04,14183.64,22949.239,3.0366,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250828,15.88,16.36,15.5,15.97,16.12,-0.15,18323.83,29063.218,3.923,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250827,16.51,16.74,16.08,16.12,16.49,-0.37,15721.12,25727.72,3.3658,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250826,16.6,16.85,16.45,16.49,16.69,-0.2,16041.23,26635.72,3.4343,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250825,16.92,16.92,16.52,16.69,16.85,-0.16,17337.3,28930.384,3.7118,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250822,17.16,17.16,16.73,16.85,17.08,-0.23,15257.77,25722.569,3.2666,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250821,17.39,17.39,16.94,17.08,17.22,-0.14,15726.3,27011.559,3.3669,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250820,17.16,17.45,16.9,17.22,17.35,-0.13,19370.79,33240.337,4.1471,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250819,17.0,18.15,16.98,17.35,17.14,0.21,38820.86,68445.012,8.3112,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250818,16.9,17.16,16.65,17.14,16.52,0.62,26155.72,44495.573,5.5997,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250815,16.36,16.6,16.19,16.52,16.19,0.33,19396.01,31758.98,4.1525,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250814,16.79,16.86,16.12,16.19,16.81,-0.62,16470.05,27067.271,3.5261,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250813,16.88,16.94,16.52,16.81,16.77,0.04,16576.25,27758.411,3.5488,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250812,17.17,17.26,16.76,16.77,17.17,-0.4,21347.34,36108.485,4.5703,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250811,17.54,17.54,17.07,17.17,17.36,-0.19,21167.86,36309.365,4.5319,4670.9014,四川,生物制药,北交所
