ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
920592.BJ,华信永道,20251201,40.11,41.0,39.52,40.54,40.0,0.54,9857.61,39779.806,1.986,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251128,40.37,40.37,39.39,40.0,40.2,-0.2,9523.45,37933.007,1.9187,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251127,40.82,41.18,40.02,40.2,40.69,-0.49,12007.03,48445.991,2.419,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251126,41.02,41.58,40.15,40.69,40.9,-0.21,14289.91,58396.883,2.879,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251125,41.03,41.59,40.6,40.9,42.07,-1.17,23416.59,96151.095,4.7177,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251124,41.58,42.82,40.57,42.07,41.3,0.77,16829.39,70561.771,3.3906,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251121,41.92,44.34,41.03,41.3,43.03,-1.73,17636.59,74489.577,3.5532,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251120,45.49,45.76,43.0,43.03,43.69,-0.66,19209.46,84895.882,3.8701,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251119,47.52,47.8,43.58,43.69,47.12,-3.43,34007.74,153803.826,6.8515,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251118,45.0,47.98,44.77,47.12,45.09,2.03,43795.62,205981.472,8.8234,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251117,44.78,46.33,44.4,45.09,45.05,0.04,16865.27,76808.839,3.3978,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251114,45.63,46.5,45.05,45.05,46.5,-1.45,20517.78,93588.938,4.1337,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251113,43.85,46.5,43.8,46.5,43.98,2.52,28366.52,128194.408,5.715,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251112,44.0,44.5,43.24,43.98,43.5,0.48,11798.59,51700.628,2.377,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251111,45.35,45.9,43.2,43.5,45.42,-1.92,21459.69,94703.22,4.3234,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251110,44.3,46.23,43.88,45.42,44.46,0.96,21339.21,96097.899,4.2992,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251107,44.58,45.76,44.2,44.46,45.62,-1.16,19367.15,86794.713,3.9019,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251106,45.5,47.6,45.5,45.62,45.72,-0.1,29738.73,138325.062,5.9914,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251105,45.0,48.0,44.61,45.72,45.13,0.59,29480.43,137341.47,5.9394,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251104,45.52,45.88,44.11,45.13,46.01,-0.88,22131.89,99238.161,4.4589,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251103,47.0,47.2,45.33,46.01,46.32,-0.31,22857.05,105217.479,4.605,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251031,45.44,47.77,45.38,46.32,45.44,0.88,40488.88,189684.718,8.1572,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251030,47.17,49.17,45.18,45.44,50.0,-4.56,63904.21,300979.635,12.8747,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251029,40.15,51.88,39.66,50.0,40.1,9.9,83701.23,387882.537,16.8632,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251028,41.03,41.11,40.08,40.1,40.83,-0.73,12302.2,49816.573,2.4785,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251027,41.08,41.62,40.6,40.83,40.8,0.03,10001.72,41066.147,2.015,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251024,40.6,41.44,40.34,40.8,40.45,0.35,10031.5,40969.24,2.021,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251023,41.12,41.3,39.88,40.45,40.95,-0.5,8719.62,35203.559,1.7567,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251022,40.31,41.5,40.31,40.95,40.81,0.14,8396.9,34368.216,1.6917,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251021,39.77,41.19,39.6,40.81,39.65,1.16,13850.4,56297.632,2.7904,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251020,39.61,40.49,39.29,39.65,39.28,0.37,8483.93,33816.639,1.7092,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251017,41.3,41.59,39.22,39.28,41.29,-2.01,11917.58,48144.229,2.401,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251016,42.92,42.99,40.96,41.29,42.71,-1.42,12177.03,50954.756,2.4533,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251015,42.88,43.77,42.66,42.71,42.92,-0.21,9973.06,42856.473,2.0093,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251014,42.35,43.59,42.35,42.92,42.33,0.59,11851.46,50956.724,2.3877,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251013,41.65,43.28,41.65,42.33,43.4,-1.07,11746.99,50024.948,2.3666,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251010,43.78,44.69,43.35,43.4,43.65,-0.25,10742.39,47174.318,2.1643,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20251009,44.88,44.88,43.62,43.65,44.97,-1.32,16650.0,73271.477,3.3544,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250930,45.53,46.38,44.81,44.97,46.59,-1.62,20644.93,93806.307,4.1593,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250929,43.99,48.0,43.99,46.59,45.44,1.15,32939.69,153210.159,6.6363,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250926,45.0,47.18,43.5,45.44,43.38,2.06,31823.02,145085.565,6.4113,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250925,43.07,44.47,43.0,43.38,42.81,0.57,17734.52,77859.703,3.5729,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250924,42.66,43.49,42.58,42.81,42.54,0.27,11707.35,50349.484,2.3587,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250923,44.15,44.5,42.16,42.54,45.35,-2.81,18862.12,81145.872,3.8001,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250922,45.1,45.64,44.81,45.35,45.0,0.35,10236.03,46271.583,2.0622,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250919,46.93,46.93,45.0,45.0,46.92,-1.92,18744.45,85721.325,3.7764,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250918,48.04,48.49,46.69,46.92,48.9,-1.98,25871.2,123074.335,5.2122,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250917,47.91,49.44,47.63,48.9,47.88,1.02,26775.97,130173.81,5.3945,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250916,48.29,48.3,47.57,47.88,47.92,-0.04,13616.0,65175.423,2.7432,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250915,47.64,48.35,47.64,47.92,47.89,0.03,11406.09,54719.072,2.298,4963.5581,北京,软件服务,北交所
920592.BJ,华信永道,20250912,48.66,49.0,47.6,47.89,48.67,-0.78,16901.06,81663.102,3.405,4963.5581,北京,软件服务,北交所
