ts_code,name,pre_close,high,open,low,close,vol,amount,num
002144.SZ,宏达高科,13.51,13.65,13.51,13.31,13.56,2959900,39944080.0,7109
002716.SZ,湖南白银,6.71,6.71,6.64,6.52,6.59,160807678,1060954704.14,111638
002653.SZ,海思科,59.55,60.01,59.01,58.5,59.03,939160,55752730.0,4647
002949.SZ,华阳国际,14.12,14.23,14.1,13.93,14.07,2016800,28346168.0,4840
000570.SZ,苏常柴Ａ,6.2,6.22,6.19,6.09,6.17,9683500,59534315.0,9081
002059.SZ,云南旅游,5.82,5.84,5.77,5.67,5.79,26709098,153575893.62,21428
001391.SZ,国货航,6.34,6.35,6.34,6.3,6.33,4676850,29536779.5,4196
002190.SZ,成飞集成,39.68,39.93,39.93,39.24,39.32,4168889,164401765.67,10430
002175.SZ,东方智造,4.94,5.07,4.97,4.86,4.96,87350200,435303846.6,51168
002582.SZ,好想你,10.5,10.5,10.5,10.21,10.39,8977900,92825932.0,17430
002171.SZ,楚江新材,11.72,11.69,11.61,11.46,11.56,35849276,413231063.28,39614
001256.SZ,炜冈科技,22.01,22.18,21.92,21.7,21.74,561000,12259528.0,2192
002511.SZ,中顺洁柔,8.29,8.4,8.28,8.26,8.39,7180920,59834644.2,11735
000930.SZ,中粮科技,5.86,5.9,5.9,5.82,5.9,7776488,45554256.8,9657
000409.SZ,云鼎科技,11.96,11.91,11.9,11.65,11.87,11732191,137975357.49,12192
002215.SZ,诺 普 信,11.2,11.41,11.2,11.08,11.35,8885936,99560822.51,11473
000625.SZ,长安汽车,11.93,11.92,11.9,11.84,11.86,21882447,259844856.78,17143
002125.SZ,湘潭电化,14.26,14.45,14.27,14.01,14.31,14140438,201702686.64,24029
002900.SZ,哈三联,14.37,14.47,14.47,13.9,14.23,6299900,88924056.0,10837
000852.SZ,石化机械,7.26,7.25,7.24,7.11,7.2,10207350,73109837.5,10095
000751.SZ,锌业股份,4.01,4.0,3.97,3.89,3.94,33267589,130722545.97,22263
000888.SZ,峨眉山Ａ,14.16,15.5,14.53,14.09,14.82,93373285,1353708205.74,103126
000892.SZ,欢瑞世纪,7.77,7.86,7.7,7.57,7.67,76478700,590340401.09,62280
000723.SZ,美锦能源,5.18,5.23,5.18,5.1,5.19,68091319,351425869.61,34282
002324.SZ,普利特,13.02,13.03,12.94,12.72,12.82,7310713,93743864.07,13387
000589.SZ,贵州轮胎,4.99,5.16,4.98,4.96,5.12,27099866,137328598.76,20782
002769.SZ,普路通,11.33,12.08,11.32,11.21,11.81,28767453,336246225.47,34935
000063.SZ,中兴通讯,46.3,47.77,47.77,45.0,45.39,380106091,17649983482.84,586793
002052.SZ,同洲电子,12.67,13.08,12.68,12.4,12.62,14098800,178146445.0,19055
000788.SZ,北大医药,7.2,7.53,7.27,7.02,7.25,85834593,623957674.33,53388
002936.SZ,郑州银行,2.01,2.02,2.01,2.0,2.02,55810373,112189150.36,12483
002996.SZ,顺博合金,7.68,7.66,7.64,7.49,7.61,7700620,58173396.9,11596
002689.SZ,ST远智,4.56,4.33,4.33,4.33,4.33,306100,1325413.0,256
000987.SZ,越秀资本,7.25,7.25,7.23,7.17,7.2,12481242,89810006.28,12928
002296.SZ,辉煌科技,10.74,10.79,10.73,10.67,10.75,3934129,42171766.88,6311
000993.SZ,闽东电力,12.22,12.79,12.1,12.1,12.68,32662702,408809778.46,43164
002938.SZ,鹏鼎控股,49.64,51.87,50.53,49.8,50.14,60838107,3089886176.87,139759
000799.SZ,酒鬼酒,58.25,58.26,58.1,57.1,57.25,4514316,259479232.54,14391
002430.SZ,杭氧股份,26.44,27.26,26.45,26.25,26.81,8154833,219376955.95,13211
001216.SZ,华瓷股份,17.0,17.17,17.1,16.7,17.15,9054600,153199501.0,11982
000557.SZ,西部创业,4.97,5.03,4.97,4.94,5.02,5780191,28826369.62,4221
002037.SZ,保利联合,9.79,9.81,9.79,9.65,9.72,4151500,40364230.0,5389
000701.SZ,厦门信达,7.21,7.34,7.15,7.07,7.31,49130445,354220663.85,45490
002916.SZ,深南电路,197.1,199.5,197.12,195.47,196.73,4260072,840728319.23,26166
002172.SZ,澳洋健康,4.26,4.28,4.27,4.2,4.28,11959001,50755406.25,14506
002958.SZ,青农商行,3.21,3.21,3.2,3.18,3.2,23333300,74420430.5,8938
000513.SZ,丽珠集团,35.99,35.95,35.71,35.49,35.58,3350406,119513944.92,8468
003012.SZ,东鹏控股,7.12,7.13,7.11,7.07,7.13,2938775,20850496.25,5501
002176.SZ,江特电机,10.23,10.15,10.13,9.9,9.99,54696893,545822966.67,53298
000538.SZ,云南白药,55.58,55.75,55.58,55.51,55.58,5107227,283968722.57,13878
002357.SZ,富临运业,10.65,10.98,10.64,10.47,10.85,7274167,78139955.21,12551
002718.SZ,友邦吊顶,28.91,29.6,29.08,28.77,29.17,1618753,47360018.51,5160
002526.SZ,山东矿机,3.71,3.7,3.7,3.66,3.69,13119284,48246800.12,6666
002963.SZ,豪尔赛,15.9,15.88,15.81,15.44,15.67,4321300,67901579.0,10030
002864.SZ,盘龙药业,35.17,35.2,34.95,34.38,34.6,4382028,152009513.36,11755
002415.SZ,海康威视,30.58,30.68,30.51,30.35,30.46,19570700,597104786.0,44294
002948.SZ,青岛银行,4.89,4.91,4.87,4.86,4.9,24065288,117600398.94,18329
001314.SZ,亿道信息,47.29,47.9,47.25,47.04,47.54,2466800,116950861.0,7745
000529.SZ,广弘控股,6.26,6.37,6.24,6.23,6.37,10787014,68161763.96,10055
002575.SZ,群兴玩具,6.87,6.8,6.73,6.66,6.74,37784217,253661797.58,31101
002898.SZ,*ST赛隆,13.75,14.05,13.61,13.61,13.87,1317190,18305698.7,837
002078.SZ,太阳纸业,15.1,15.26,15.03,14.98,15.06,10665149,161300044.29,22137
