ts_code,name,pre_close,high,open,low,close,vol,amount,num
002144.SZ,宏达高科,13.28,13.39,13.29,13.15,13.35,2874600,38200339.0,8043
002716.SZ,湖南白银,6.38,6.57,6.29,6.26,6.54,119891357,771439212.79,78446
002653.SZ,海思科,60.42,60.69,60.43,58.88,60.19,1557600,92956489.0,6906
002949.SZ,华阳国际,13.79,13.94,13.87,13.62,13.9,1876400,25947726.0,4311
000570.SZ,苏常柴Ａ,6.02,6.12,6.04,5.98,6.11,8906450,53977684.5,9974
002059.SZ,云南旅游,5.42,5.45,5.4,5.34,5.45,26516587,143364286.41,18702
001391.SZ,国货航,6.27,6.28,6.27,6.21,6.28,16123413,100637147.94,10605
002190.SZ,成飞集成,37.71,38.17,37.95,37.3,38.08,5685804,214672217.52,13834
002175.SZ,东方智造,4.43,4.48,4.43,4.35,4.47,54631677,242258376.03,31196
002582.SZ,好想你,9.98,10.35,9.99,9.99,10.18,9322900,94828826.0,16888
002171.SZ,楚江新材,11.54,12.07,11.58,11.48,12.02,93798198,1115256626.54,88184
001256.SZ,炜冈科技,21.36,21.94,21.36,21.0,21.81,1184800,25577074.0,4978
002511.SZ,中顺洁柔,8.19,8.22,8.17,8.09,8.16,7927450,64543364.6,14606
000930.SZ,中粮科技,5.79,5.9,5.8,5.76,5.89,11104900,64910813.0,10422
000409.SZ,云鼎科技,11.33,11.6,11.39,11.23,11.56,11884460,136241292.37,14914
002215.SZ,诺 普 信,10.89,11.08,10.87,10.81,11.04,7590201,83287500.62,8665
000625.SZ,长安汽车,11.72,11.79,11.73,11.66,11.79,30367770,356337703.66,24111
002125.SZ,湘潭电化,13.66,13.76,13.6,13.44,13.68,14088370,192111425.6,24295
002900.SZ,哈三联,14.5,14.38,14.38,13.81,13.95,13141400,183927272.5,17002
000852.SZ,石化机械,7.07,7.21,7.06,7.02,7.21,14695252,105118233.38,15239
000751.SZ,锌业股份,3.94,4.13,3.93,3.92,4.13,95130282,386415721.41,53987
